d,    0.089
r,    0.0325
l,    5
Kv,   0.0259
R,    4.3111
M,    1.944
J,    0.0169
Bv,   0.5082
Bvn,  0.4870
Bw,   0.0130
Cv,   1.9068
Cvn,  2.0423
Cw,   0.0971
